date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:46	191879/191879	---M-Z	200	added ('OK')	text/html	etag:%222ed87-65fa6e7a-2233f42d9b9b14e5;gz%22	https://html.themewant.com/hostie/shared-hosting.html	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/shared-hosting.html	(from )
12:31:47	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-650cb906-d8e718ed5d0574ad;gz%22	https://html.themewant.com/robots.txt		(from )
12:31:47	928/928	---M--	200	added ('OK')	image/png	etag:%223a0-65fa6e7a-fb4ed6c2e2e57feb;;;%22	https://html.themewant.com/hostie/assets/images/fav.png	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/images/fav.png	(from https://html.themewant.com/hostie/shared-hosting.html)
12:31:48	213827/213827	---M-Z	200	added ('OK')	text/css	etag:%2234343-65fa6e79-681dc334eafae2ea;gz%22	https://html.themewant.com/hostie/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/css/vendor/bootstrap.min.css	(from https://html.themewant.com/hostie/shared-hosting.html)
12:31:48	538475/538475	---M-Z	200	added ('OK')	text/css	etag:%228376b-65fa6e79-b34cc694cf01a38a;gz%22	https://html.themewant.com/hostie/assets/css/plugins/fontawesome.min.css	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/css/plugins/fontawesome.min.css	(from https://html.themewant.com/hostie/shared-hosting.html)
12:31:49	21746/21746	---M-Z	200	added ('OK')	text/css	etag:%2254f2-65fa6e79-53de05151dba677c;gz%22	https://html.themewant.com/hostie/assets/css/plugins/swiper.min.css	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/css/plugins/swiper.min.css	(from https://html.themewant.com/hostie/shared-hosting.html)
12:31:49	7747/7747	---M-Z	200	added ('OK')	text/css	etag:%221e43-65fa6e79-dcbbe38e099557db;gz%22	https://html.themewant.com/hostie/assets/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/css/plugins/magnific-popup.css	(from https://html.themewant.com/hostie/shared-hosting.html)
12:31:49	16061/16061	---M-Z	200	added ('OK')	text/css	etag:%223ebd-65fa6e79-dd2921adf5914228;gz%22	https://html.themewant.com/hostie/assets/css/plugins/sal.min.css	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/css/plugins/sal.min.css	(from https://html.themewant.com/hostie/shared-hosting.html)
12:31:50	4352/4352	---M-Z	200	added ('OK')	text/css	etag:%221100-65fa6e79-e8aaf279ec109a91;gz%22	https://html.themewant.com/hostie/assets/css/plugins/nice-select.css	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/css/plugins/nice-select.css	(from https://html.themewant.com/hostie/shared-hosting.html)
12:31:50	3589/3589	---M-Z	200	added ('OK')	text/css	etag:%22e05-65fa6e79-de194ed7428bf844;gz%22	https://html.themewant.com/hostie/assets/css/plugins/metismenu.css	C:/My%20Web%20Sites/mi/html.themewant.com/hostie/assets/css/plugins/metismenu.css	(from https://html.themewant.com/hostie/shared-hosting.html)
